EID,Angle1,Angle2,Filename_y,Coordinate,Filename
sub-NDARWH725TXP,198.02,92.29,,,sub-NDARWH725TXP-198.02-92.29-curv.png
sub-NDARDL305BT8,216.6,81.48,,,sub-NDARDL305BT8-216.6-81.48-curv.png
sub-NDARBV680AA8,195.65,91.72,,,sub-NDARBV680AA8-195.65-91.72-curv.png
sub-NDARRY768ZH3,221.03,85.58,,,sub-NDARRY768ZH3-221.03-85.58-curv.png
sub-NDARBP398JHL,210.12,93.72,,,sub-NDARBP398JHL-210.12-93.72-curv.png
sub-NDARNY894TH7,205.74,103.68,,,sub-NDARNY894TH7-205.74-103.68-curv.png
sub-NDARLY687YDQ,211.65,93.18,,,sub-NDARLY687YDQ-211.65-93.18-curv.png
sub-NDARPT777FDA,211.97,83.79,,,sub-NDARPT777FDA-211.97-83.79-curv.png
sub-NDARME789TD2,210.83,94.19,,,sub-NDARME789TD2-210.83-94.19-curv.png
sub-NDARED628HMQ,220.3,76.95,,,sub-NDARED628HMQ-220.3-76.95-curv.png
sub-NDAREF389RY2,202.04,98.22,,,sub-NDAREF389RY2-202.04-98.22-curv.png
sub-NDARDZ266KET,222.01,89.06,,,sub-NDARDZ266KET-222.01-89.06-curv.png
sub-NDAREU211JMY,213.18,81.97,,,sub-NDAREU211JMY-213.18-81.97-curv.png
sub-NDARHF351AA6,214.19,102.64,,,sub-NDARHF351AA6-214.19-102.64-curv.png
sub-NDARKG785VAJ,214.54,92.83,,,sub-NDARKG785VAJ-214.54-92.83-curv.png
sub-NDARCL016NHB,222.03,84.74,,,sub-NDARCL016NHB-222.03-84.74-curv.png
sub-NDARCK815WZR,220.61,104.28,,,sub-NDARCK815WZR-220.61-104.28-curv.png
sub-NDARNW528VXP,212.86,81.8,,,sub-NDARNW528VXP-212.86-81.8-curv.png
sub-NDARYE017HZA,216.55,85.64,,,sub-NDARYE017HZA-216.55-85.64-curv.png
sub-NDARDY776AKH,208.57,82.84,,,sub-NDARDY776AKH-208.57-82.84-curv.png
sub-NDARGG539YGN,203.27,76.69,,,sub-NDARGG539YGN-203.27-76.69-curv.png
sub-NDARUY024RVP,219.54,104.63,,,sub-NDARUY024RVP-219.54-104.63-curv.png
sub-NDARVD543CMZ,201.35,78.39,,,sub-NDARVD543CMZ-201.35-78.39-curv.png
sub-NDARFC694PW2,206.77,82.14,,,sub-NDARFC694PW2-206.77-82.14-curv.png
sub-NDARRL685WB7,221.91,83.36,,,sub-NDARRL685WB7-221.91-83.36-curv.png
sub-NDARKW531ACR,196.61,78.76,,,sub-NDARKW531ACR-196.61-78.76-curv.png
sub-NDARAG191AE8,201.96,94.43,,,sub-NDARAG191AE8-201.96-94.43-curv.png
sub-NDARHZ413DZL,201.19,88.53,,,sub-NDARHZ413DZL-201.19-88.53-curv.png
sub-NDARLV387GP4,209.86,78.1,,,sub-NDARLV387GP4-209.86-78.1-curv.png
sub-NDARMG675JB4,199.21,99.52,,,sub-NDARMG675JB4-199.21-99.52-curv.png
sub-NDARYU898ETS,201.64,94.15,,,sub-NDARYU898ETS-201.64-94.15-curv.png
sub-NDARXJ799NEB,214.47,101.27,,,sub-NDARXJ799NEB-214.47-101.27-curv.png
sub-NDARTC795CR3,196.74,90.35,,,sub-NDARTC795CR3-196.74-90.35-curv.png
sub-NDARER379GTP,199.76,75.65,,,sub-NDARER379GTP-199.76-75.65-curv.png
sub-NDAREW557WZM,210.08,100.47,,,sub-NDAREW557WZM-210.08-100.47-curv.png
sub-NDARBH019KPD,207.77,101.97,,,sub-NDARBH019KPD-207.77-101.97-curv.png
sub-NDARWR678HLF,218.88,98.39,,,sub-NDARWR678HLF-218.88-98.39-curv.png
sub-NDARGJ392ACY,198.98,85.38,,,sub-NDARGJ392ACY-198.98-85.38-curv.png
sub-NDARYA898BRE,196.28,98.52,,,sub-NDARYA898BRE-196.28-98.52-curv.png
sub-NDARUE605HGP,205.29,88.4,,,sub-NDARUE605HGP-205.29-88.4-curv.png
sub-NDARCU736GZ1,202.3,103.1,,,sub-NDARCU736GZ1-202.3-103.1-curv.png
sub-NDARVB902GA5,198.68,77.88,,,sub-NDARVB902GA5-198.68-77.88-curv.png
sub-NDARJR473HXT,211.48,78.7,,,sub-NDARJR473HXT-211.48-78.7-curv.png
sub-NDARPG847LB8,224.56,86.67,,,sub-NDARPG847LB8-224.56-86.67-curv.png
sub-NDARBM213BEA,207.55,95.54,,,sub-NDARBM213BEA-207.55-95.54-curv.png
sub-NDARHG260BM9,202.08,95.88,,,sub-NDARHG260BM9-202.08-95.88-curv.png
sub-NDARHT403JJJ,210.51,77.89,,,sub-NDARHT403JJJ-210.51-77.89-curv.png
sub-NDARFD822TY5,223.56,87.05,,,sub-NDARFD822TY5-223.56-87.05-curv.png
sub-NDARBM213BEA,198.62,88.05,,,sub-NDARBM213BEA-198.62-88.05-curv.png
sub-NDARJX258XF0,197.61,89.74,,,sub-NDARJX258XF0-197.61-89.74-curv.png
sub-NDARKG697CEW,211.18,90.85,,,sub-NDARKG697CEW-211.18-90.85-curv.png
sub-NDARTJ862ENU,201.61,99.19,,,sub-NDARTJ862ENU-201.61-99.19-curv.png
sub-NDARFV685ZT2,207.13,101.11,,,sub-NDARFV685ZT2-207.13-101.11-curv.png
sub-NDARZW363UGM,204.72,100.81,,,sub-NDARZW363UGM-204.72-100.81-curv.png
sub-NDARTG937LDA,208.2,85.99,,,sub-NDARTG937LDA-208.2-85.99-curv.png
sub-NDARJG488XHT,209.64,83.9,,,sub-NDARJG488XHT-209.64-83.9-curv.png
sub-NDARZB377WZJ,198.92,93.78,,,sub-NDARZB377WZJ-198.92-93.78-curv.png
sub-NDARHD059PEQ,197.87,87.5,,,sub-NDARHD059PEQ-197.87-87.5-curv.png
sub-NDARPW482TVE,221.74,98.86,,,sub-NDARPW482TVE-221.74-98.86-curv.png
sub-NDARYY664KHF,206.38,83.66,,,sub-NDARYY664KHF-206.38-83.66-curv.png
sub-NDARHK506HLW,196.29,103.24,,,sub-NDARHK506HLW-196.29-103.24-curv.png
sub-NDARJP948FJV,198.5,86.06,,,sub-NDARJP948FJV-198.5-86.06-curv.png
sub-NDARDF374LGN,196.13,82.07,,,sub-NDARDF374LGN-196.13-82.07-curv.png
sub-NDARPL240HZT,202.91,77.24,,,sub-NDARPL240HZT-202.91-77.24-curv.png
sub-NDARDN489EXJ,221.15,85.45,,,sub-NDARDN489EXJ-221.15-85.45-curv.png
sub-NDARRD943ZWU,211.47,82.15,,,sub-NDARRD943ZWU-211.47-82.15-curv.png
sub-NDARCA618DGA,195.47,102.4,,,sub-NDARCA618DGA-195.47-102.4-curv.png
sub-NDARPL240HZT,223.84,82.55,,,sub-NDARPL240HZT-223.84-82.55-curv.png
sub-NDARCM050BN2,221.74,84.61,,,sub-NDARCM050BN2-221.74-84.61-curv.png
sub-NDARRR735VMN,213.36,85.93,,,sub-NDARRR735VMN-213.36-85.93-curv.png
sub-NDARUX187JTB,199.84,90.74,,,sub-NDARUX187JTB-199.84-90.74-curv.png
sub-NDARMY967HNA,217.2,93.22,,,sub-NDARMY967HNA-217.2-93.22-curv.png
sub-NDARZW363UGM,195.33,101.25,,,sub-NDARZW363UGM-195.33-101.25-curv.png
sub-NDARWP112TDL,215.51,82.17,,,sub-NDARWP112TDL-215.51-82.17-curv.png
sub-NDARKG697CEW,213.83,76.01,,,sub-NDARKG697CEW-213.83-76.01-curv.png
sub-NDARLR924YAV,205.55,85.45,,,sub-NDARLR924YAV-205.55-85.45-curv.png
sub-NDARFU395UBW,207.58,82.32,,,sub-NDARFU395UBW-207.58-82.32-curv.png
sub-NDARCL016NHB,205.4,101.61,,,sub-NDARCL016NHB-205.4-101.61-curv.png
sub-NDARBF042LDM,204.33,77.99,,,sub-NDARBF042LDM-204.33-77.99-curv.png
sub-NDARYA379LKT,207.87,78.17,,,sub-NDARYA379LKT-207.87-78.17-curv.png
sub-NDARVG461LA2,208.89,98.58,,,sub-NDARVG461LA2-208.89-98.58-curv.png
sub-NDARXE684LUY,206.23,82.55,,,sub-NDARXE684LUY-206.23-82.55-curv.png
sub-NDARLL914UW4,223.11,100.67,,,sub-NDARLL914UW4-223.11-100.67-curv.png
sub-NDARDL511UND,203.48,84.02,,,sub-NDARDL511UND-203.48-84.02-curv.png
