FilenameMask,EID,Angle1,Angle2,FilenameCurv,FilenameParc
sub-NDAREP505XAD-209.00-86.54-curv-mask.png,sub-NDAREP505XAD,209.0,86.54,sub-NDAREP505XAD-209.0-86.54-curv.png,sub-NDAREP505XAD-209.0-86.54-parc.png
sub-NDARTF133LLM-220.36-96.56-curv-mask.png,sub-NDARTF133LLM,220.36,96.56,sub-NDARTF133LLM-220.36-96.56-curv.png,sub-NDARTF133LLM-220.36-96.56-parc.png
sub-NDARNU770PM5-224.01-96.23-curv-mask.png,sub-NDARNU770PM5,224.01,96.23,sub-NDARNU770PM5-224.01-96.23-curv.png,sub-NDARNU770PM5-224.01-96.23-parc.png
sub-NDARPZ720WKW-224.15-78.29-curv-mask.png,sub-NDARPZ720WKW,224.15,78.29,sub-NDARPZ720WKW-224.15-78.29-curv.png,sub-NDARPZ720WKW-224.15-78.29-parc.png
sub-NDARNF341BNN-200.89-77.94-curv-mask.png,sub-NDARNF341BNN,200.89,77.94,sub-NDARNF341BNN-200.89-77.94-curv.png,sub-NDARNF341BNN-200.89-77.94-parc.png
sub-NDARHT403JJJ-207.24-95.58-curv-mask.png,sub-NDARHT403JJJ,207.24,95.58,sub-NDARHT403JJJ-207.24-95.58-curv.png,sub-NDARHT403JJJ-207.24-95.58-parc.png
sub-NDARYW170CAA-214.33-91.16-curv-mask.png,sub-NDARYW170CAA,214.33,91.16,sub-NDARYW170CAA-214.33-91.16-curv.png,sub-NDARYW170CAA-214.33-91.16-parc.png
sub-NDARTK691PJJ-223.96-98.02-curv-mask.png,sub-NDARTK691PJJ,223.96,98.02,sub-NDARTK691PJJ-223.96-98.02-curv.png,sub-NDARTK691PJJ-223.96-98.02-parc.png
sub-NDARFJ494ZDJ-200.15-104.38-curv-mask.png,sub-NDARFJ494ZDJ,200.15,104.38,sub-NDARFJ494ZDJ-200.15-104.38-curv.png,sub-NDARFJ494ZDJ-200.15-104.38-parc.png
sub-NDARUF230BYM-208.92-89.15-curv-mask.png,sub-NDARUF230BYM,208.92,89.15,sub-NDARUF230BYM-208.92-89.15-curv.png,sub-NDARUF230BYM-208.92-89.15-parc.png
